Index,State,Year,DoY,Event_Label,Event_Obs,Date,Sex,Site,Orchard,Genotype,Tree,X,Y,Source
1551,2,2011,164,first_flowering,2,2011-06-13,FEMALE,PGTIS,220,1591,NA,DD,36,Rita Wagner
1551,2,2011,164,last_flowering,3,2011-06-13,FEMALE,PGTIS,220,1591,NA,DD,36,Rita Wagner
1552,2,2011,158,first_flowering,2,2011-06-07,FEMALE,PGTIS,220,1591,NA,O,1,Rita Wagner
1552,2,2011,164,last_flowering,3,2011-06-13,FEMALE,PGTIS,220,1591,NA,O,1,Rita Wagner
1553,1,2011,158,before_flowering,1,2011-06-07,FEMALE,PGTIS,220,1592,NA,DD,38,Rita Wagner
1553,2,2011,164,first_flowering,2,2011-06-13,FEMALE,PGTIS,220,1592,NA,DD,38,Rita Wagner
1553,2,2011,164,last_flowering,3,2011-06-13,FEMALE,PGTIS,220,1592,NA,DD,38,Rita Wagner
1554,1,2011,158,before_flowering,1,2011-06-07,FEMALE,PGTIS,220,1592,NA,M,45,Rita Wagner
1554,2,2011,164,first_flowering,2,2011-06-13,FEMALE,PGTIS,220,1592,NA,M,45,Rita Wagner
1554,2,2011,164,last_flowering,3,2011-06-13,FEMALE,PGTIS,220,1592,NA,M,45,Rita Wagner
1555,1,2011,158,before_flowering,1,2011-06-07,FEMALE,PGTIS,220,1597,NA,DD,30,Rita Wagner
1555,2,2011,164,first_flowering,2,2011-06-13,FEMALE,PGTIS,220,1597,NA,DD,30,Rita Wagner
1555,2,2011,164,last_flowering,3,2011-06-13,FEMALE,PGTIS,220,1597,NA,DD,30,Rita Wagner
1556,1,2011,158,before_flowering,1,2011-06-07,FEMALE,PGTIS,220,1597,NA,J,2,Rita Wagner
1556,2,2011,164,first_flowering,2,2011-06-13,FEMALE,PGTIS,220,1597,NA,J,2,Rita Wagner
1556,2,2011,164,last_flowering,3,2011-06-13,FEMALE,PGTIS,220,1597,NA,J,2,Rita Wagner
1557,2,2011,158,first_flowering,2,2011-06-07,FEMALE,PGTIS,220,1598,NA,C,47,Rita Wagner
