"Orchard","Clone","X","Y","receptive20","pollenshed20","receptive80","pollenshed80","pickdate","total_cone_weight_kg","thirty_cone_weight_g","Site"
"338","865","C","45",2011-05-24,2011-05-25,2011-05-27,2011-05-27,2011-08-08,1.61,0.501,"PRT"
"338","1770","D","25",2011-05-28,2011-05-27,2011-05-30,2011-05-31,2011-08-08,4.12,0.35,"PRT"
"338","1365","D","45",2011-05-23,2011-05-24,2011-05-27,2011-05-27,2011-08-08,4.66,0.295,"PRT"
"338","789","D","48",2011-05-20,2011-05-24,2011-05-24,2011-05-26,2011-08-08,3.02,0.302,"PRT"
"338","1373","E","41",2011-05-25,2011-05-27,2011-05-27,2011-05-30,2011-08-08,3.65,0.282,"PRT"
"338","4425","E","53",2011-05-19,2011-05-22,2011-05-22,2011-05-26,2011-08-08,1.15,0.26,"PRT"
"338","1450","E","54",2011-05-24,2011-05-24,2011-05-26,2011-05-26,2011-08-08,0.76,0.157,"PRT"
"338","1053","L","27",2011-05-20,2011-05-21,2011-05-23,2011-05-25,2011-08-08,0.57,0.242,"PRT"
"338","1376","L","42",2011-05-20,2011-05-22,2011-05-23,2011-05-27,2011-08-08,1.88,0.243,"PRT"
"338","1362","Q","19",2011-05-19,2011-05-20,2011-05-23,2011-05-24,2011-08-08,2.44,0.331,"PRT"
"338","1361","U","27",2011-05-19,2011-05-21,2011-05-24,2011-05-24,2011-08-08,0.81,0.148,"PRT"
"338","1201","W","33",2011-05-19,2011-05-20,2011-05-22,2011-05-22,2011-08-08,2.35,0.205,"PRT"
"338","1351","W","43",2011-05-20,2011-05-23,2011-05-24,2011-05-26,2011-08-08,3.94,0.297,"PRT"
"338","1766","ZA","62",2011-05-20,2011-05-23,2011-05-24,2011-05-25,2011-08-08,1.6,0.172,"PRT"
"338","849","ZA","70",2011-05-20,2011-05-23,2011-05-24,2011-05-25,2011-08-08,1.52,0.262,"PRT"
"339","778","36","3",2011-05-24,2011-05-22,2011-05-28,2011-05-24,2011-08-17,2.66,0.215,"Tolko"
"339","781","35","5",2011-05-25,2011-05-22,2011-05-28,2011-05-26,2011-08-17,2.38,0.304,"Tolko"
"339","801","36","9",2011-05-26,2011-05-24,2011-05-30,2011-05-30,2011-08-18,2.74,0.226,"Tolko"
"339","824","36","29",2011-05-24,2011-05-22,2011-06-01,2011-05-24,2011-08-19,2.14,0.262,"Tolko"
"339","858","36","17",2011-05-26,2011-05-23,2011-06-01,2011-05-30,2011-08-19,1.04,0.2,"Tolko"
